,SPATIAL_ID,greenness_mean,greenness_median,greenness_std
504,167046d6-14ba-488b-a958-93228e456486,918.3713457692667,898.9694213867188,273.4501757985893
505,77da02c9-288d-456e-b9e4-6188d155ec69,941.2222747078589,936.8046264648438,316.24067548130677
506,c0062f84-48d8-45f7-8a21-e32a44fe2819,786.6227059607107,769.4705810546875,262.75702092091785
507,7daec556-eb52-4422-b4d8-180c2ea3ad6a,704.2784194356691,697.9234008789062,206.19542792415604
508,9c462900-403d-452f-aa92-76fd26890684,585.6057157441123,588.6336975097656,138.70044074236685
509,1e551ef0-3a82-4f7b-bd0a-1b61ec49e468,626.4238432011332,634.2933044433594,126.67707968207633
510,f7794460-9eb5-44d2-9067-6a189240ba39,634.6642908221703,640.4091796875,90.97231407109444
511,e3ac0c0e-85bd-4a8e-97cc-836711685059,608.7577755842259,613.6622619628906,133.0797918533191
512,af2cd6ce-808b-4de8-9b28-6465aed31fcb,594.2281023960217,603.8582153320312,106.96577628850356
513,c9bc33e3-b143-4887-96bb-d88e937b5df1,809.0389615395911,780.1052856445312,191.54415004721884
514,cfa9eff7-edf8-4063-9f54-5aa4b07fd39b,1044.128715708776,937.751220703125,332.65796152853466
515,cdb419e6-b931-41a5-98ac-1f0cededd420,1039.6737887755135,1038.38916015625,231.02165369879793
516,c7cf241b-2373-4262-a515-49cb0c48760d,921.2049992897972,917.3786010742188,258.0185444769919
517,9f927c0a-f75a-415d-9909-c2c840e95052,900.4252555608567,908.8818969726562,191.56075808440286
518,9b00ce07-ddbd-4f25-9218-e5e944bdfef6,630.9382860516838,635.0001831054688,110.95144210513699
519,15f87f29-7f9f-4d70-b5a0-5bc61e4abfe8,737.6847118102398,731.83740234375,135.88823437323347
520,e1113cf4-20b7-4b49-916b-8878700902e5,1252.1746969066683,1284.5985717773438,241.5495983907431
521,41fffcac-c60f-4d35-85fb-62e6cba222ba,383.9470056632065,385.7724914550781,123.25677388838787
522,7d58dddb-9758-428b-8bbf-90658f1b07ae,565.7990001360575,556.1322021484375,131.59497263605545
523,debdb82b-1c94-4d0a-bf6f-4bfa660e39cb,502.32501438685824,483.1449890136719,122.46626482696387
524,a6166970-fc55-46f4-ba6a-f67e28ec27af,474.95019738570505,479.6510009765625,131.14668070071667
525,54e8755d-53b0-4ead-a699-b3e1b3c136fc,490.0128652460435,474.21990966796875,146.51485868700698
526,3ce345bf-fbfd-400e-a75b-af6ff43492a4,399.6173986489432,407.4864044189453,137.5514525607668
527,a7d9d745-0c1b-423f-916e-3bdeb58aaf98,577.6302727593315,584.8911743164062,86.3597084773284
528,1ff2ded7-e839-4e0d-80f7-82464a069686,458.47092405179654,455.63365173339844,83.7093382600348
529,56d13d23-8f63-4e1f-b7e0-6f285e56cc28,356.9343723749421,351.5679931640625,132.41360361993867
530,4c46b34f-8373-4263-be5d-3e1293eabc1b,362.94264085005227,335.8168487548828,161.4030777648529
531,15e0d454-1527-4cf8-803d-df6936977528,360.19587502566736,356.8064880371094,107.5992137485138
532,091ab005-44e1-486a-a400-6be3128248c6,323.09429831404583,305.6452941894531,166.2215511332332
533,2938999e-de35-442f-a3cd-bd6043db145c,888.9588065168977,864.5683288574219,241.24768831867738
534,e27ecd30-8271-4dc4-9307-160515a72d9b,380.5287165093998,366.4591979980469,132.04221937454534
